username,failed_logins,successful_logins,failure_rate,is_admin
user001,22,191,0.10328638497652583,False
user002,19,177,0.09693877551020408,False
user003,16,174,0.08421052631578947,False
user004,19,154,0.10982658959537572,False
user005,16,208,0.07142857142857142,False
user006,20,197,0.09216589861751152,False
user007,14,183,0.07106598984771574,False
user008,14,183,0.07106598984771574,False
user009,8,197,0.03902439024390244,False
user010,24,194,0.11009174311926606,False
user011,23,193,0.10648148148148148,False
user012,20,158,0.11235955056179775,False
user013,18,189,0.08695652173913043,False
user014,11,175,0.05913978494623656,False
user015,16,174,0.08421052631578947,False
user016,23,174,0.116751269035533,False
user017,14,199,0.06572769953051644,False
user018,19,170,0.10052910052910052,False
user019,20,168,0.10638297872340426,False
user020,16,163,0.0893854748603352,False
user021,20,165,0.10810810810810811,False
user022,21,192,0.09859154929577464,False
user023,17,179,0.08673469387755102,False
user024,12,183,0.06153846153846154,False
user025,16,173,0.08465608465608465,False
user026,20,192,0.09433962264150944,False
user027,19,180,0.09547738693467336,False
user028,18,165,0.09836065573770492,False
user029,24,178,0.1188118811881188,False
user030,14,193,0.06763285024154589,False
user031,16,184,0.08,False
user032,9,186,0.046153846153846156,False
user033,16,192,0.07692307692307693,False
user034,12,190,0.0594059405940594,False
user035,16,198,0.07476635514018691,False
user036,77,174,0.30677290836653387,True
user037,9,185,0.04639175257731959,False
user038,14,183,0.07106598984771574,False
user039,16,217,0.06866952789699571,False
user040,12,176,0.06382978723404255,False
user041,24,188,0.11320754716981132,True
user042,19,212,0.08225108225108226,False
user043,19,197,0.08796296296296297,False
user044,16,184,0.08,False
user045,16,195,0.07582938388625593,True
user046,19,199,0.0871559633027523,False
user047,16,182,0.08080808080808081,False
user048,11,177,0.05851063829787234,False
user049,13,201,0.06074766355140187,False
user050,14,153,0.08383233532934131,False
